Name,Icon,City,State,Latitude,Longitude
Knights of the Ku Klux Klan,kkk,Harrison,Arkansas,36.226827,-93.107676
Loyal White Knights of the Ku Klux Klan,kkk,Altamont,New York,42.719411,-74.006509
United Klans of America,kkk,Anniston,Alabama,33.659825,-85.831631
Southern Mountain Knights of the Ku Klux Klan,kkk,Franklin,Tennessee,35.92,-86.86
Ku Klos Knights of the Ku Klux Klan,kkk,Saint James City,Florida,26.543329,-82.116955
Loyal White Knights of the Ku Klux Klan,kkk,,Virginia,37.59161,-77.642157
Loyal White Knights of the Ku Klux Klan,kkk,Eden,North Carolina,36.488471,-79.766702
Original Knight Riders Knights of the Ku Klux Klan,kkk,Nashville,Tennessee,36.15238,-86.789388
Loyal White Knights of the Ku Klux Klan,kkk,,South Carolina,33.987338,-81.036821
Original Knight Riders Knights of the Ku Klux Klan (W. Va.),kkk,Moyock,North Carolina,36.524793,-76.178324
Ku Klos Knights of the Ku Klux Klan,kkk,Kountze,Texas,30.371597,-94.312411
Ku Klos Knights of the Ku Klux Klan,kkk,Gatesville,Texas,31.435164,-97.743911
Original Knight Riders Knights of the Ku Klux Klan,kkk,Columbus,Ohio,39.96026,-83.00928
Loyal White Knights of the Ku Klux Klan,kkk,,Ohio,39.96026,-83.00928
Imperial Klans of America Knights of the Ku Klux Klan,kkk,Dawson Springs,Kentucky,37.16,-87.69
True Invisible Empire Knights,kkk,Elkmont,Alabama,34.928974,-86.973895
Traditionalist American Knights of the Ku Klux Klan,kkk,Potosi,Missouri,37.936438,-90.787908
Loyal White Knights of the Ku Klux Klan,kkk,,Alabama,32.927396,-87.972681
Mississippi White Knights of the Ku Klux Klan,kkk,Bruce,Mississippi,33.992055,-89.348964
Rocky Mountain Knights of the Ku Klux Klan,kkk,Great Falls,Montana,47.515457,-111.280356
Loyal White Knights of the Ku Klux Klan,kkk,Kokomo,Indiana,40.535199,-86.18
United Northern and Southern Knights of the Ku Klux Klan,kkk,Rockledge,Georgia,32.442947,-82.697636
Original Knight Riders Knights of the Ku Klux Klan (W. Va.),kkk,Charleston,Virginia,38.337969,-81.6107
Trinity White Knights of the Ku Klux Klan,kkk,Georgetown,Kentucky,38.2,-84.55
Loyal White Knights of the Ku Klux Klan,kkk,,Pennsylvania,40.266554,-76.869213
United Klans of America,kkk,Ashland,Alabama,33.273725,-85.836074
Southern Mountain Knights of the Ku Klux Klan,kkk,Alcoa,Tennessee,35.78,-83.97
Ku Klos Knights of the Ku Klux Klan,kkk,Lenoir,North Carolina,35.914019,-81.538984
Aryan Nations Knights of the Ku Klux Klan,kkk,Converse,Louisiana,31.781558,-93.693794
Traditionalist American Knights of the Ku Klux Klan,kkk,Prattville,Alabama,32.475494,-86.428853
Original Knight Riders Knights of the Ku Klux Klan (W. Va.),kkk,Beckley,West Virginia,37.799995,-81.175906
Loyal White Knights of the Ku Klux Klan,kkk,Pelham,North Carolina,36.510278,-79.471667
Original Knight Riders Knights of the Ku Klux Klan,kkk,Frankfort,Kentucky,38.200905,-84.873283
Loyal White Knights of the Ku Klux Klan,kkk,,Louisiana,30.436229,-91.178501
Ku Klos Knights of the Ku Klux Klan,kkk,Kingsport,Tennessee,36.534534,-82.486105
Ku Klos Knights of the Ku Klux Klan,kkk,Monroe City,Indiana,38.615325,-87.35446
Original Knight Riders Knights of the Ku Klux Klan,kkk,Gilbert,South Carolina,33.950599,-81.372937
Loyal White Knights of the Ku Klux Klan,kkk,,Illinois,40.695773,-89.582474
Loyal White Knights of the Ku Klux Klan,kkk,,Kentucky,38.258101,-84.898477
Loyal White Knights of the Ku Klux Klan,kkk,,Mississippi,32.412414,-90.290181
Loyal White Knights of the Ku Klux Klan,kkk,,Florida,30.509943,-84.364719
Ku Klos Knights of the Ku Klux Klan,kkk,Knoxville,Tennessee,35.960638,-83.920739
Fraternal Order of the Cross,kkk,Madison,Indiana,38.735893,-85.379957
True Invisible Empire Traditionalist American Knights of the Ku Klux Klan,kkk,Harrisburg,Pennsylvania,40.262588,-76.876059
Loyal White Knights of the Ku Klux Klan,kkk,,Tennessee,35.898723,-86.962408
Texas Knights of the Ku Klux Klan,kkk,Campbell,Texas,33.14817,-95.951356
Southern Mountain Knights of the Ku Klux Klan,kkk,Clinton,Tennessee,36.1,-84.13
International Keystone Knights of the Ku Klux Klan,kkk,Vanndale,Arkansas,35.313526,-90.773943
Loyal White Knights of the Ku Klux Klan,kkk,,New Jersey,40.215546,-74.604906
United Klans of America,kkk,Great Falls,Montana,47.494183,-111.283344
Southern Mountain Knights of the Ku Klux Klan,kkk,Nashville,Tennessee,36.16647,-86.783736
Loyal White Knights of the Ku Klux Klan,kkk,,West Virginia,39.278635,-80.432652
Loyal White Knights of the Ku Klux Klan,kkk,,Nevada,39.129728,-119.673093
Ku Klos Knights of the Ku Klux Klan,kkk,Colorado Springs,Colorado,38.882553,-104.734593
Ku Klos Knights of the Ku Klux Klan,kkk,Oil City,Pennsylvania,41.433948,-79.706441
Original Knight Riders Knights of the Ku Klux Klan,kkk,Harrisburg,Pennsylvania,40.27,-76.88
Loyal White Knights of the Ku Klux Klan,kkk,,Georgia,32.232644,-83.464355
Ku Klos Knights of the Ku Klux Klan,kkk,Church Hill,Tennessee,36.52232,-82.713492
Ku Klos Knights of the Ku Klux Klan,kkk,Butler,Tennessee,36.318346,-81.975299
Ku Klos Knights of the Ku Klux Klan,kkk,Memphis,Tennessee,35.236823,-90.018655
Original Knight Riders Knights of the Ku Klux Klan,kkk,Livingston,Texas,30.711029,-94.932989
United Northern and Southern Knights of the Ku Klux Klan,kkk,Chicago,Illinois,41.947205,-87.746807
Loyal White Knights of the Ku Klux Klan,kkk,,Maine,44.352001,-69.692376
KKKRadio,kkk,Harrison,Arkansas,36.222673,-93.1
United Dixie White Knights Ku Klux Klan,kkk,Jackson,Mississippi,32.422414,-90.290181
Loyal White Knights of the Ku Klux Klan,kkk,,Texas,32.583706,-95.108835
Ku Klos Knights of the Ku Klux Klan,kkk,Kokomo,Indiana,40.53,-86.18
Soldiers Of the Cross Training Institute,kkk,Harrison,Arkansas,36.225996,-93.107676
