Tony Alamo Christian Ministries,other,34.438411,-118.457197,"(34.438411, -118.457197)"
As-Sabiqun,other,32.734895,-117.097059,"(32.734895, -117.097059)"
Bob's Underground Graduate Seminar/BUGS,white-nationalist,34.029122,-81.003682,"(34.029122, -81.003682)"
National Socialist Movement,neo-nazi,39.15,-75.52,"(39.15, -75.52)"
Faithful Word Baptist Church,other,33.389757,-111.934363,"(33.389757, -111.934363)"
Conservative Citizens Foundation Inc,white-nationalist,38.630539,-90.192821,"(38.630539, -90.192821)"
AC Skins,racist-skinhead,39.36,-74.42,"(39.36, -74.42)"
Free Edgar Steele,white-nationalist,48.186231,-116.434664,"(48.186231, -116.434664)"
Stop the Islamization of Nations (SION),anti-muslim,40.736613,-74.009447,"(40.736613, -74.009447)"
National Alliance Reform and Restoration Group,neo-nazi,39.175925,-119.766876,"(39.175925, -119.766876)"
Israelite Church of God in Jesus Christ,black-separatist,39.955614,-75.116591,"(39.955614, -75.116591)"
National Socialist Movement,neo-nazi,40.59,-75.11,"(40.59, -75.11)"
Southern National Congress,neo-confederate,32.80735,-89.474217,"(32.80735, -89.474217)"
Aryan Nations LA,neo-nazi,32.35,-89.39,"(32.35, -89.39)"
Vinlanders New Jersey,racist-skinhead,39.92,-75.02,"(39.92, -75.02)"
Council of Conservative Citizens,white-nationalist,32.398931,-86.322463,"(32.398931, -86.322463)"
National Socialist Movement,neo-nazi,43.964897,-99.9,"(43.964897, -99.9)"
AC Skins,racist-skinhead,39.24,-74.81,"(39.24, -74.81)"
Creativity Alliance,neo-nazi,38.8,-116.41,"(38.8, -116.41)"
Generations With Vision,anti-lgbt,39.360266,-104.596915,"(39.360266, -104.596915)"
Aryan Nations OH,neo-nazi,31.964688,-99.9,"(31.964688, -99.9)"
American Border Patrol,anti-immigrant,31.588871,-110.211737,"(31.588871, -110.211737)"
New Black Panther Party,black-separatist,27.950575,-82.457177,"(27.950575, -82.457177)"
TC Family (Traverse City Family),anti-lgbt,44.763056,-85.620631,"(44.763056, -85.620631)"
Free America Rally,white-nationalist,44.068201,-114.74204,"(44.068201, -114.74204)"
Israelite Church of God in Jesus Christ,black-separatist,38.945066,-94.577919,"(38.945066, -94.577919)"
Knights of the Ku Klux Klan,kkk,36.226827,-93.107676,"(36.226827, -93.107676)"
New Black Panther Party,black-separatist,38.956829,-77.013344,"(38.956829, -77.013344)"
Nation of Islam,black-separatist,34.228431,-92.003195,"(34.228431, -92.003195)"
Windsor Hills Baptist Church,anti-lgbt,35.481198,-97.660236,"(35.481198, -97.660236)"
Loyal White Knights of the Ku Klux Klan,kkk,42.719411,-74.006509,"(42.719411, -74.006509)"
White Boy Society,white-nationalist,47.754329,-120.74,"(47.754329, -120.74)"
ProEnglish,anti-immigrant,38.89,-77.06,"(38.89, -77.06)"
Tennessee Freedom Coalition,anti-muslim,36.095758,-86.82262,"(36.095758, -86.82262)"
United Klans of America,kkk,33.659825,-85.831631,"(33.659825, -85.831631)"
Southern Mountain Knights of the Ku Klux Klan,kkk,35.92,-86.86,"(35.92, -86.86)"
Heterosexuals Organized for a Moral Environment (H.O.M.E.),anti-lgbt,41.81329,-88.021633,"(41.81329, -88.021633)"
National Alliance,neo-nazi,38.135397,-80.213126,"(38.135397, -80.213126)"
Nation of Islam,black-separatist,36.019649,-79.762417,"(36.019649, -79.762417)"
Bill Keller Ministries,other,27.813325,-82.729217,"(27.813325, -82.729217)"
American Freedom Party,white-nationalist,27.446686,-82.377733,"(27.446686, -82.377733)"
Western Hammerskins,racist-skinhead,33.67,-117.16,"(33.67, -117.16)"
National Association for the Advancement of America,white-nationalist,31.16,-90.28,"(31.16, -90.28)"
National Socialist Movement,neo-nazi,37.37,-77.5,"(37.37, -77.5)"
National Socialist Movement,neo-nazi,46.87404,-110.36,"(46.87404, -110.36)"
Ku Klos Knights of the Ku Klux Klan,kkk,26.543329,-82.116955,"(26.543329, -82.116955)"
Stedfast Baptist Church,anti-lgbt,32.775951,-97.400287,"(32.775951, -97.400287)"
Nation of Islam,black-separatist,42.247361,-89.080022,"(42.247361, -89.080022)"
