Name,Icon,City,State,Latitude,Longitude
Israelite Church of God in Jesus Christ,black-separatist,Camden,New Jersey,39.955614,-75.116591
New Black Panther Party,black-separatist,Tampa,Florida,27.950575,-82.457177
Israelite Church of God in Jesus Christ,black-separatist,Kansas City,Missouri,38.945066,-94.577919
New Black Panther Party,black-separatist,Washington,District of Columbia,38.956829,-77.013344
Nation of Islam,black-separatist,Pine Bluff,Arkansas,34.228431,-92.003195
Nation of Islam,black-separatist,Greensboro,North Carolina,36.019649,-79.762417
Nation of Islam,black-separatist,Rockford,Illinois,42.247361,-89.080022
Nation of Islam,black-separatist,Wilmington,Delaware,39.760071,-75.533492
Nation of Islam,black-separatist,Austin,Texas,30.3339,-97.684885
Nation of Islam,black-separatist,Houston,Texas,29.698225,-95.357319
Israelite Church of God in Jesus Christ,black-separatist,Orlando,Florida,28.458885,-81.394926
Nation of Islam,black-separatist,Charlotte,North Carolina,35.268007,-80.882107
Nation of Islam,black-separatist,Los Angeles,California,33.990382,-118.328661
Nation of Islam,black-separatist,Aurora,Colorado,39.739054,-104.864277
Nation of Islam,black-separatist,Washington,District of Columbia,38.869829,-76.960766
Israelite Church of God in Jesus Christ,black-separatist,Wilmington,North Carolina,34.225725,-77.94471
Nation of Islam,black-separatist,Newark,New Jersey,40.744016,-74.171579
All Eyes On Egipt Bookstore Brooklyn NY,black-separatist,Brooklyn,New York,40.69,-73.93
Nation of Islam,black-separatist,Horn Lake,Mississippi,34.963116,-90.032342
Israelite Church of God in Jesus Christ,black-separatist,Philadelphia,Pennsylvania,39.986353,-75.101994
Nation of Islam,black-separatist,Detroit,Michigan,42.399173,-83.159108
Nation of Islam,black-separatist,Fort Worth,Texas,32.727805,-97.318061
Israelite Church of God in Jesus Christ,black-separatist,Pittsburgh,Pennsylvania,40.450914,-79.902477
Nation of Islam,black-separatist,Fort Lauderdale,Florida,26.129244,-80.163714
Israelite Church of God in Jesus Christ,black-separatist,Washington,District of Columbia,38.92,-76.99
Nation of Islam,black-separatist,Charleston,South Carolina,32.866954,-79.975221
All Eyes on Egypt Bookstore,black-separatist,Milledgeville,Georgia,33.06,-83.21
Nation of Islam,black-separatist,Milwaukee,Wisconsin,43.127225,-87.943283
Israelite Church of God in Jesus Christ,black-separatist,Coatesville,Pennsylvania,39.983161,-75.823835
Israelite Church of God in Jesus Christ,black-separatist,Tulsa,Oklahoma,36.194849,-95.988545
Israelite Church of God In Jesus Christ,black-separatist,Langston,Oklahoma,35.94883,-97.257194
Nation of Islam,black-separatist,New York,New York,40.678178,-73.944157
Nation of Islam,black-separatist,Birmingham,Alabama,33.551839,-86.816757
Israelite Church of God in Jesus Christ,black-separatist,Jersey City,New Jersey,40.700852,-74.088757
All Eyes On Egypt Bookstore,black-separatist,Macon,Georgia,32.84,-83.63
Israelite Church of God in Jesus Christ,black-separatist,Omaha,Nebraska,41.291845,-95.967396
Israelite Church of God in Jesus Christ,black-separatist,Asbury Park,New Jersey,40.215929,-74.023515
Nation of Islam,black-separatist,Chester,Pennsylvania,39.839981,-75.375362
Nation of Islam,black-separatist,Durham,North Carolina,35.965705,-78.804282
Nation of Islam,black-separatist,Buffalo,New York,42.909791,-78.824274
Nation Of Islam,black-separatist,East Saint Louis,Illinois,38.615721,-90.116746
Nation of Islam,black-separatist,Boston,Massachusetts,42.308298,-71.082726
